"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31767","TC3: Cập nhật vị trí | tenViTri=Vị trí đã cập nhật => fail","chromium","2026-04-18","passed","2026-04-18","Admin - Quản lý vị trí","admin-location.spec.ts","",""
"","15008","TC3: BUG - không có quyền cập nhật phòng","chromium","2026-04-18","passed","2026-04-18","Admin - Quản lý Room","admin-room.spec.ts","",""
"","26319","TC4: Xoá vị trí bất kỳ => fail","chromium","2026-04-18","failed","2026-04-18","Admin - Quản lý vị trí","admin-location.spec.ts","",""
"","27300","TC2: Thêm phòng mới thành công","chromium","2026-04-18","passed","2026-04-18","Admin - Quản lý Room","admin-room.spec.ts","",""
"","25107","TC4: Xoá phòng thành công","chromium","2026-04-18","passed","2026-04-18","Admin - Quản lý Room","admin-room.spec.ts","",""
"","19139","TC3: Cập nhật phòng | tenPhong=Phòng đã cập nhật => fail","chromium","2026-04-18","passed","2026-04-18","Admin - Quản lý Room","admin-room.spec.ts","",""
"","26742","TC4: Xoá vị trí bất kỳ => success","chromium","2026-04-18","passed","2026-04-18","Admin - Quản lý vị trí","admin-location.spec.ts","",""
"","8820","TC1: Truy cập trang quản lý room","chromium","2026-04-18","passed","2026-04-18","Admin - Quản lý Room","admin-room.spec.ts","",""
"","13273","TC2: Thêm vị trí mới thành công","chromium","2026-04-18","passed","2026-04-18","Admin - Quản lý vị trí","admin-location.spec.ts","",""
"","9072","TC1: Truy cập trang quản lý vị trí","chromium","2026-04-18","passed","2026-04-18","Admin - Quản lý vị trí","admin-location.spec.ts","",""
"","12573","TC4: Xoá vị trí bất kỳ thành công","chromium","2026-04-18","passed","2026-04-18","Admin - Quản lý vị trí","admin-location.spec.ts","",""
